50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,"[21.9, 15.2]",,,,,,,,,,,,1.208763,,,,,,,,,,,,e2c16203-afe1-4a03-b5eb-190db7b25c32,80,,,"[26.0, 15.7]",3920412,1,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Mohamed Aly Camara,16025.0,Left Center Back,5,Guinea,4892,"['9d7cb386-a09d-4efa-812b-d8004c024ee8', '7b224047-6d15-4d69-9868-4266842eb05b']",47,,,,,,,,,,,,,,,,,Guinea,4892,00:01:47.934,Carry,
,,,,,"[9.8, 38.9]",,,,,,,,,,,,1.3993,,,,,,,,,,,,ac7469ca-39a7-43d4-9ed8-ea6689ec77ff,83,,,"[9.1, 36.3]",3920412,1,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Ibrahim Kone,182573.0,Goalkeeper,5,Guinea,4892,"['77c9c198-00a0-4942-bf24-45917148b0ec', '475ce97c-d611-4468-9445-204fc73e470a', '4fca68ee-8388-471b-aa9b-2a894fe836b2']",51,,,,,,,,,,,,,,,,,Guinea,4892,00:01:51.461,Carry,True
,,,,,"[12.9, 62.7]",,,,,,,,,,,,1.136125,,,,,,,,,,,,4f23ec73-713c-4bf5-82dc-9637540ded5a,87,,,"[12.1, 59.7]",3920412,1,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Saidou Sow,46008.0,Right Center Back,5,Guinea,4892,"['4279e9ad-be8c-4d3e-a363-1e5f76cf95d8', '66414b04-3973-49ad-b973-23f453a19960']",53,,,,,,,,,,,,,,,,,Guinea,4892,00:01:53.859,Carry,
,,,,,"[59.9, 66.4]",,,,,,,,,,,,1.304701,,,,,,,,,,,,ff87c41e-8cb1-4922-8de5-c8e1219a1bd4,90,,,"[61.8, 63.7]",3920412,1,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Aguibou Camara,39559.0,Right Midfield,5,Guinea,4892,"['8f8b41f7-5012-4c9b-ba32-a8d900ac6e1f', '3678ddd8-0d27-407c-bd3b-71b6ae382625', '6c66834c-5260-406c-a25d-92eab1e78f31']",57,,,,,,,,,,,,,,,,,Guinea,4892,00:01:57.030,Carry,True
,,,,,"[61.8, 62.0]",,,,,,,,,,,,2.551495,,,,,,,,,,,,7eef3bcc-15dd-4828-84dc-17de85ddb0de,94,,,"[59.9, 66.4]",3920412,1,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Aguibou Camara,39559.0,Right Midfield,5,Guinea,4892,"['3ca494b7-e18d-46a3-9ed6-59ab9414134d', '4667be2a-c569-4729-9b69-91fcc10845f8', 'dcf2876c-c623-4e78-ad41-4321c03794e9', '3678ddd8-0d27-407c-bd3b-71b6ae382625']",58,,,,,,,,,,,,,,,,,Guinea,4892,00:01:58.335,Carry,True
,,,,,"[54.3, 60.4]",,,,,,,,,,,,0.014957,,,,,,,,,,,,9785b525-41bc-44f3-aa30-2d52f59b1791,99,,,"[54.7, 59.2]",3920412,2,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Naby Deco Keïta,8505.0,Right Center Forward,5,Guinea,4892,"['31d580ef-20b7-4d4e-9e51-db00ab3419de', '80240c92-40ee-450e-9e13-9c44044d54fd']",1,,,,,,,,,,,,,,,,,Guinea,4892,00:02:01.448,Carry,
,,,,,"[55.4, 75.8]",,,,,,,,,,,,1.848168,,,,,,,,,,,,cc0ebf17-596a-462f-84bb-d856ff259e1c,102,,,"[55.7, 74.3]",3920412,2,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Antoine Conte,131849.0,Right Back,5,Guinea,4892,"['5ac6757c-577a-41d8-95ff-5369cf2ed143', '67852362-4b12-41a7-b729-c340fcace48c']",2,,,,,,,,,,,,,,,,,Guinea,4892,00:02:02.727,Carry,
,,,,,"[33.2, 64.2]",,,,,,,,,,,,0.629266,,,,,,,,,,,,941f3a1a-cb55-44ed-9ccd-b03278284af7,105,,,"[32.5, 66.0]",3920412,2,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Saidou Sow,46008.0,Right Center Back,5,Guinea,4892,"['a184f7ab-2908-46c7-a507-c4d717511393', 'f5f689c8-95e4-4e30-a06a-26c351c09822']",6,,,,,,,,,,,,,,,,,Guinea,4892,00:02:06.591,Carry,
,,,,,"[35.8, 49.9]",,,,,,,,,,,,1.336882,,,,,,,,,,,,8efbbc47-cefa-4d4f-b0f6-93a499ec4958,108,,,"[38.4, 54.0]",3920412,2,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Amadou Diawara,8284.0,Right Defensive Midfield,5,Guinea,4892,"['89d6b9c8-2e0c-4afc-88d3-b02865467ef0', '80c73f46-77bb-4019-b2eb-9fe618d03ea7']",8,,,,,,,,,,,,,,,,,Guinea,4892,00:02:08.552,Carry,
,,,,,"[43.7, 75.1]",,,,,,,,,,,,0.119999,,,,,,,,,,,,0da1e4ec-242e-41c2-a71c-1f7b8611b9b8,117,,,"[43.7, 75.8]",3920412,3,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Antoine Conte,131849.0,Right Back,8,Guinea,4892,"['281140c2-5f38-463e-9d4c-52291525339c', 'a6e3443d-add1-427e-802b-b409e46cabfc']",30,,,,,,,,,,,,,,,,,Guinea,4892,00:03:30.525,Carry,
