50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,2.830133,,,,,,,,,,,,,,f3a107d3-bff3-4de5-b557-6074494f690b,1131,,"[111.4, 3.2]",3922243,36,,,,1.4118433,,Left Foot,True,,"[117.7, 42.5]",,High Pass,,39.801758,Incomplete,,Youssef En-Nesyri,6301.0,,,,,,1,From Free Kick,Noussair Mazraoui,15890.0,Left Back,53,Morocco,788,"['953e55f4-cf06-46cd-b337-c13a23ba6a56', '66e28d36-7a29-4817-8fb5-0353146458c4', 'ba18fd3b-c60b-4865-a98a-fe1cceeef26a']",29,,,,,,,,,,,,,,,,,Morocco,788,00:36:29.004,Pass,True
,,,,,,,,,,,,,,2.541998,,,,,,,,,,,,,,bceb607d-8639-44a7-903e-0413500c61a8,1135,,"[16.7, 36.7]",3922243,36,,,,-0.3627432,,Drop Kick,,,"[77.3, 13.7]",,High Pass,,64.8179,Incomplete,,Percy Tau,29367.0,,,,,,1,From Keeper,Ronwen Williams,66721.0,Goalkeeper,54,South Africa,4976,"['5e6e84b7-6d49-4bf7-a5ab-1778e414c64f', '77c97903-9ba7-4acd-bca9-84d107235748']",36,,,,,,,,,,,,,,,,,South Africa,4976,00:36:36.656,Pass,
,,,,,,,,,,,,,,3.333593,,,,,,,,,,,,,,77e84683-a065-4270-9d07-906ee0dbcde4,1140,,"[69.8, 13.7]",3922243,36,,,,0.13853006,,Left Foot,,,"[90.6, 16.6]",,Low Pass,,21.00119,Incomplete,,Percy Tau,29367.0,,,,,,1,From Keeper,Evidence Makgopa,65853.0,Right Center Forward,54,South Africa,4976,"['8d85d322-08ff-4799-96cc-5d2c51473aba', '3b2b89f9-30dd-43f8-89d5-a4fa850e8fe6']",40,,,,,,,,,,,,,,,,,South Africa,4976,00:36:40.634,Pass,
,,,,,,,,,,,,,,1.676072,,,,,,,,,,,,,,8f66a6e0-b0f3-4338-92e8-1f37084b099a,1143,,"[33.0, 63.7]",3922243,36,True,,,-1.5863391,,Right Foot,,,"[32.4, 25.1]",,Ground Pass,,38.604664,,,Noussair Mazraoui,15890.0,,,,,,1,Regular Play,Sofyan Amrabat,5234.0,Center Defensive Midfield,55,Morocco,788,['897beec5-0330-4764-a610-90abdaffb041'],48,,,,,,,,,,,,,,,,,Morocco,788,00:36:48.041,Pass,
,,,,,,,,,,,,,,1.229667,,,,,,,,,,,,,,31ee364f-00b6-4016-a799-62cec9f42073,1145,,"[38.7, 17.5]",3922243,36,True,,,1.8572185,,Left Foot,,,"[34.4, 32.1]",,Ground Pass,,15.220053,,,Romain Saïss,5219.0,,,,,,1,Regular Play,Noussair Mazraoui,15890.0,Left Back,55,Morocco,788,['56ca19a1-761a-44d5-b107-1aa2a632227a'],50,,,,,,,,,,,,,,,,,Morocco,788,00:36:50.019,Pass,
,,,,,,,,,,,,,,1.406242,,,,,,,,,,,,,,4a20b07e-7e65-4e62-a5e6-17d0b4309098,1147,,"[34.4, 33.1]",3922243,36,,,,-0.7759645,,Left Foot,,,"[45.1, 22.6]",,Ground Pass,,14.991331,,,Sofyan Amrabat,5234.0,,,,,,1,Regular Play,Romain Saïss,5219.0,Left Center Back,55,Morocco,788,['79049f99-989b-44a7-b617-109070878168'],55,,,,,,,,,,,,,,,,,Morocco,788,00:36:55.074,Pass,
,,,,,,,,,,,,,,1.84738,,,,,,,,,,,,,,c5aae01d-f456-48ae-8156-6aaa9a3ca599,1151,,"[62.9, 20.6]",3922243,37,,,,2.675662,,Left Foot,,,"[45.4, 29.4]",,Ground Pass,,19.588007,,,Romain Saïss,5219.0,,,,,,1,Regular Play,Sofyan Amrabat,5234.0,Center Defensive Midfield,55,Morocco,788,['8fc78da2-16a3-4c5d-a657-103981b34792'],2,,,,,,,,,,,,,,,,,Morocco,788,00:37:02.572,Pass,
,,,,,,,,,,,,,,1.721152,,,,,,,,,,,,,,40dd06b4-071e-4f31-9a3b-aca93f38aae0,1154,,"[45.4, 29.4]",3922243,37,,,,1.549613,,Left Foot,,,"[45.9, 53.0]",,Ground Pass,,23.605295,,,Nayef Aguerd,12149.0,,,,,,1,Regular Play,Romain Saïss,5219.0,Left Center Back,55,Morocco,788,['9f22f512-37df-4814-bbc1-fd15676b9db2'],5,,,,,,,,,,,,,,,,,Morocco,788,00:37:05.089,Pass,
,,,,,,,,,,,,,,1.274912,,,,,,,,,,,,,,04e78949-faf8-41a9-b26d-73f4a4ee696e,1157,,"[47.6, 54.0]",3922243,37,,,,0.57983285,,Left Foot,,,"[61.8, 63.3]",,Ground Pass,,16.974392,,,Youssef En-Nesyri,6301.0,,,,,,1,Regular Play,Nayef Aguerd,12149.0,Right Center Back,55,Morocco,788,['2f814cf4-3590-45c4-9766-56eba51ff61d'],9,,,,,,,,,,,,,,,,,Morocco,788,00:37:09.101,Pass,
,,,,,,,,,,,,,,1.087671,,,,,,,,,,,,,,b36f6245-052f-4889-a6da-ff6d22b1fa35,1159,,"[61.8, 63.2]",3922243,37,,,,-2.8234391,,Left Foot,,,"[45.1, 57.7]",,Ground Pass,,17.582378,,,Nayef Aguerd,12149.0,,,,,,1,Regular Play,Youssef En-Nesyri,6301.0,Center Forward,55,Morocco,788,['06e82a1d-61ee-4d0a-8ebb-f2a7dd69ceeb'],10,,,,,,,,,,,,,,,,,Morocco,788,00:37:10.376,Pass,
,,,,,,,,,,,,,,1.885925,,,,,,,,,,,,,,ea1c3c62-cd7b-4818-8359-c3a769977614,1162,,"[45.1, 57.2]",3922243,37,,,,0.7063342,,Left Foot,,,"[70.3, 78.7]",,High Pass,,33.125366,,,Achraf Hakimi Mouh,5245.0,,,,,,1,Regular Play,Nayef Aguerd,12149.0,Right Center Back,55,Morocco,788,['a9ee3044-1235-4c1b-99d7-b0160217d878'],12,,,,,,,,,,,,,,,,,Morocco,788,00:37:12.283,Pass,
,,,,,,,,,,,,,,2.089646,,,,,,,,,,,,,,16ba0e6a-8d05-4577-bcb6-19cdb8c14a68,1164,,"[70.3, 78.7]",3922243,37,,,,-1.4907538,,Head,,,"[71.8, 60.0]",,High Pass,,18.760063,,,Youssef En-Nesyri,6301.0,,,,,,1,Regular Play,Achraf Hakimi Mouh,5245.0,Right Back,55,Morocco,788,['267b5b8a-3c54-44e8-a520-b0d8b99f21f6'],14,,,,,,,,,,,,,,,,,Morocco,788,00:37:14.169,Pass,
