bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,fbf3f738-0577-405c-9c6f-8835a2d7d242,1699,,"[70.1, 22.9]",3922321,47,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Alfredo Kulembe Ribeiro,10844.0,Right Center Midfield,90,Angola,4901,['658512c2-db93-4946-8c58-78cf65f7f882'],56,,,,,,,,,,,,,,,,,Angola,4901,00:02:56.614,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,c4e793d1-8737-4881-b8d2-821c323854f0,1702,,"[104.1, 14.3]",3922321,48,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Ambrosini Antonio Cabaça Salvador,136312.0,Left Center Midfield,90,Angola,4901,['3fc5ece3-d5eb-4d13-bb3e-6ff43a8f66ed'],0,,,,,,,,,,,,,,,,,Angola,4901,00:03:00.129,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2b7ddd10-96dd-4c2b-84d3-b86d3281a105,1709,,"[18.0, 69.0]",3922321,48,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Temitayo Olufisayo Olaoluwa Aina,11492.0,Right Wing Back,91,Nigeria,775,['3a7ceca7-f639-41d5-a0ab-603b5480a60f'],6,,,,,,,,,,,,,,,,,Nigeria,775,00:03:06.562,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,e552dcf3-853f-4754-992f-518c72bdf21b,1715,,"[50.9, 53.0]",3922321,48,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Ademola Lookman,3447.0,Right Attacking Midfield,92,Nigeria,775,['4c43212d-030b-4e6b-b812-d898976a7f27'],22,,,,,,,,,,,,,,,,,Nigeria,775,00:03:22.906,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,bc7e1d90-84a7-4f1e-babd-c8fa826d82fa,1721,,"[50.2, 31.9]",3922321,48,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Kialonda Gaspar,103208.0,Right Center Back,93,Angola,4901,['d38a6b17-a72d-477e-afb5-c6945db37ae7'],26,,,,,,,,,,,,,,,,,Angola,4901,00:03:26.850,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,d02e41af-861b-43d0-b669-94447aa3a6ce,1724,,"[61.3, 36.6]",3922321,48,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Eddie Marcos Melo Afonso,145058.0,Right Back,93,Angola,4901,['eb3acf44-80ee-452a-b161-c5cffc8e5288'],28,,,,,,,,,,,,,,,,,Angola,4901,00:03:28.687,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,14faeca5-48a4-4e2e-b3ca-1f0d19173790,1727,,"[58.7, 29.2]",3922321,48,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Manuel Luís da Silva Cafumana,31016.0,Center Defensive Midfield,93,Angola,4901,['2d5c6618-a691-44dd-a339-9a35a76a61f9'],29,,,,,,,,,,,,,,,,,Angola,4901,00:03:29.427,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,ccc4cd46-1c24-4396-b478-add3f9741b75,1730,,"[70.0, 45.7]",3922321,48,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jacinto Muondo Dala,10577.0,Left Wing,93,Angola,4901,['df983b41-64ca-47bf-b6a0-9c7ade3f0f8b'],33,,,,,,,,,,,,,,,,,Angola,4901,00:03:33.162,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,87006087-49ed-416d-83e1-6400da0ea414,1738,,"[68.9, 74.8]",3922321,48,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Temitayo Olufisayo Olaoluwa Aina,11492.0,Right Wing Back,94,Nigeria,775,['ee589845-a1ac-4e91-940c-972d60356940'],45,,,,,,,,,,,,,,,,,Nigeria,775,00:03:45.547,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4af04171-9cad-4c5b-a357-337590085588,1741,,"[75.5, 42.8]",3922321,48,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Alex Iwobi,3647.0,Left Defensive Midfield,94,Nigeria,775,['79111d06-f4fd-4157-b3fc-62be2f7f7d37'],50,,,,,,,,,,,,,,,,,Nigeria,775,00:03:50.095,Ball Receipt*,
