50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,"[34.5, 76.6]",,,,,,,,,,,,,3.072166,,,,,,,,,,,,119eb6d7-23e4-432a-915a-eb693eaadd41,1298,,,"[20.2, 76.4]",3920395,40,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Kings Kangwa,44402.0,Right Center Midfield,69,Zambia,4963,"['388b34e4-7c82-4c21-b6f8-b8f732809062', '1e0dabb1-357b-48ec-b4d1-91508ee84172']",17,,,,,,,,,,,,,,,,,Zambia,4963,00:40:17.356,Carry,
,,,,,"[45.3, 64.7]",,,,,,,,,,,,,2.077977,,,,,,,,,,,,87458c0a-9c8b-4c21-a560-db0b7d54d272,1301,,,"[47.5, 65.8]",3920395,40,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lubambo Musonda,23420.0,Right Midfield,69,Zambia,4963,"['2b3fbeab-1f12-49b0-a8f0-c4adc1bfe126', '1412cf5c-e7cd-429e-a278-5393c1826f35']",21,,,,,,,,,,,,,,,,,Zambia,4963,00:40:21.515,Carry,
,,,,,"[30.3, 69.8]",,,,,,,,,,,,,1.287561,,,,,,,,,,,,bef59a3e-5dd5-4177-90f7-b94aecfa6edb,1304,,,"[30.5, 69.8]",3920395,40,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Kelvin Kapumbu,151066.0,Center Defensive Midfield,69,Zambia,4963,"['d01a5775-a5da-4377-a302-cd5b710bbc62', '8764cfa6-e3d1-4139-838a-37f12234d232']",24,,,,,,,,,,,,,,,,,Zambia,4963,00:40:24.566,Carry,
,,,,,"[24.6, 57.5]",,,,,,,,,,,,,0.578336,,,,,,,,,,,,e09ef100-f38b-429e-b71e-2d065e050fd7,1307,,,"[24.6, 57.5]",3920395,40,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Stopilla Sunzu,23203.0,Right Center Back,69,Zambia,4963,"['e6c7c132-aceb-4508-961c-0070ba4f2724', '74bdab72-bcf5-402d-bad7-e4e5006739c2']",27,,,,,,,,,,,,,,,,,Zambia,4963,00:40:27.226,Carry,
,,,,,"[34.5, 46.1]",,,,,,,,,,,,,0.858146,,,,,,,,,,,,9d392344-4214-4d8a-ae65-f31f0f17cc95,1310,,,"[38.4, 51.0]",3920395,40,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Emmanuel Justine Rabby Banda,23260.0,Left Center Midfield,69,Zambia,4963,"['52bfbf45-a9cc-444c-89e7-a61b6eb0e3f2', '65314fec-7536-4049-aae8-fb2f1f7e9329']",29,,,,,,,,,,,,,,,,,Zambia,4963,00:40:29.031,Carry,
,,,,,"[48.4, 12.4]",,,,,,,,,,,,,2.314669,,,,,,,,,,,,97a6b5cd-cc38-4236-9568-1b57add6e2b8,1313,,,"[46.4, 15.1]",3920395,40,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Roderick Kabwe,68505.0,Left Back,69,Zambia,4963,"['b41fba4e-8bbc-41df-9a86-10f3a0acf928', 'e529e379-872d-47ff-8d29-453b849b385e']",31,,,,,,,,,,,,,,,,,Zambia,4963,00:40:31.749,Carry,
,,,,,"[37.2, 16.4]",,,,,,,,,,,,,1.142124,,,,,,,,,,,,e2153585-c358-4e92-82b7-831c86ef8916,1316,,,"[35.2, 16.8]",3920395,40,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Frankie Musonda,47979.0,Left Center Back,69,Zambia,4963,"['d5b9526c-46e1-4a66-9ddd-20e244464dc5', 'b8e000a5-f65d-467d-bf3a-1e49375c27d4']",35,,,,,,,,,,,,,,,,,Zambia,4963,00:40:35.452,Carry,
,,,,,"[44.7, 38.7]",,,,,,,,,,,,,2.802542,,,,,,,,,,,,61214a66-0612-44cb-b7ec-9837c8a2c889,1319,,,"[37.4, 32.0]",3920395,40,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Kelvin Kapumbu,151066.0,Center Defensive Midfield,69,Zambia,4963,"['2040a3e5-6e9e-4ba2-91ac-a10cba3502db', '0a5a74cf-1d9a-4bed-bb53-902091caad1d']",37,,,,,,,,,,,,,,,,,Zambia,4963,00:40:37.963,Carry,
,,,,,"[92.2, 67.3]",,,,,,,,,,,,,3.352241,,,,,,,,,,,,04ddd094-e404-46e8-b3c3-9330d1437231,1322,,,"[77.8, 77.7]",3920395,40,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Fashion Sakala,23708.0,Left Midfield,69,Zambia,4963,"['6a1fcfe6-0fb5-41c1-94a4-2a3407a13b78', 'eda3aa42-c0b1-4128-b933-e436bcd7aa7f']",43,,,,,,,,,,,,,,,,,Zambia,4963,00:40:43.328,Carry,
,,,,,"[84.1, 59.9]",,,,,,,,,,,,,3.513734,,,,,,,,,,,,023b79c4-8713-4b27-8ad6-81bde9284b1f,1325,,,"[88.4, 57.2]",3920395,40,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lubambo Musonda,23420.0,Right Midfield,69,Zambia,4963,"['5d5b3239-a8bf-456e-9576-f6e0198874bd', '1ed18dd3-9db1-4fb9-9b08-fbf587e75d08', '1d7665ac-976e-4d66-bf69-864ccb76f569']",47,,,,,,,,,,,,,,,,,Zambia,4963,00:40:47.670,Carry,True
,,,,,"[76.5, 57.5]",,,,,,,,,,,,,0.852296,,,,,,,,,,,,c1bac608-2b69-4f74-868b-3a01242d5d8f,1329,,,"[77.1, 63.4]",3920395,40,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Kelvin Kapumbu,151066.0,Center Defensive Midfield,69,Zambia,4963,"['6cdfd6fe-0a0d-442f-86cf-e3e8f982d7e7', '32a90eaf-ddcb-4bca-8abd-04bba88c8159']",51,,,,,,,,,,,,,,,,,Zambia,4963,00:40:51.953,Carry,
