50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,1.544773,,,,,,,,,,,4ad24d5b-8105-4150-b7dc-78d280ec42d2,90,,,"[66.1, 61.5]",3922238,2,True,,,-2.3761122,,Right Foot,,,"[53.3, 49.2]",,Ground Pass,17.751902,,,,William Troost-Ekong,5455.0,,,,,,1,From Throw In,Oluwasemilogo Adesewo Ibidapo Ajayi,3923.0,Right Center Back,7,Nigeria,775,['9fb19766-11a7-4dc4-b38e-82682b68818a'],32,,,,,,,,,,,,,,,,Nigeria,775,00:02:32.302,Pass,
,,,,,,,,,,,,,,1.702264,,,,,,,,,,,828ed7ef-1c2b-4fb7-8ce9-1773210c081f,92,,,"[52.7, 42.8]",3922238,2,,,,-1.4272591,,Right Foot,,,"[56.4, 17.2]",,Ground Pass,25.866001,,,,Calvin Bassey Ughelumba,43779.0,,,,,,1,From Throw In,William Troost-Ekong,5455.0,Center Back,7,Nigeria,775,['c7b02239-febb-413a-8728-e2a3d1cff1c3'],34,,,,,,,,,,,,,,,,Nigeria,775,00:02:34.758,Pass,
,,,,,,,,,,,,,,2.795749,,,,,,,,,,,c4e0443c-9a36-4519-b126-42a4a8eb88c4,95,,,"[57.7, 16.9]",3922238,2,,,,-0.28453717,,Left Foot,,,"[104.2, 3.3]",,High Pass,48.448013,,,,Zaidu Sanusi,31949.0,,,,,,1,From Throw In,Calvin Bassey Ughelumba,43779.0,Left Center Back,7,Nigeria,775,['f676d113-aeb6-455d-a8f7-84aa95556eb2'],37,,,,,,,,,,,,,,,,Nigeria,775,00:02:37.874,Pass,
,,,,,,,,,,,,,,1.926068,,,,,,,,,,,54a87dd7-e4f9-4587-8c11-927ffa30d35d,101,,,"[110.9, 0.1]",3922238,3,,,,1.5531511,,,True,,"[111.5, 34.1]",,High Pass,34.005295,,Incomplete,,,,,,,,Throw-in,1,From Throw In,Zaidu Sanusi,31949.0,Left Wing Back,8,Nigeria,775,['4806b3ab-78c3-4b3a-963d-8cb894d1e0b2'],7,,,,,,,,,,,,,,,,Nigeria,775,00:03:07.050,Pass,
,,,,,,,,,,,,,,2.854071,,,,,,,,,,,cedac728-0606-401e-8b1f-b600cc961cb8,106,,,"[74.0, 5.6]",3922238,3,,,,2.7207205,,Right Foot,,,"[42.5, 19.7]",,Ground Pass,34.511738,,,,Stanley Bobo Nwabali,358410.0,,,,,,1,From Throw In,Alex Iwobi,3647.0,Left Defensive Midfield,8,Nigeria,775,['3920ea6b-881e-470c-9fbf-770867e8b164'],15,,,,,,,,,,,,,,,,Nigeria,775,00:03:15.097,Pass,
,,,,,,,,,,,,,,3.561009,,,,,,,,,,,22870255-8bd1-4bdc-810f-5f84ab2adc85,109,,,"[41.2, 28.2]",3922238,3,,,,0.618481,,Right Foot,,,"[89.4, 62.5]",,High Pass,59.158516,,Incomplete,,Moses Daddy-Ajala Simon,18163.0,,,,,,1,From Throw In,Stanley Bobo Nwabali,358410.0,Goalkeeper,8,Nigeria,775,"['9f8e95f7-86ca-46f9-813d-bb77e56dfaa9', '275cdfd1-53b8-42fc-a0a4-cf884d243623']",22,,,,,,,,,,,,,,,,Nigeria,775,00:03:22.198,Pass,
,,,,,,,,,,,,,,2.344286,,,,,,,,,,,275cdfd1-53b8-42fc-a0a4-cf884d243623,112,,,"[30.7, 17.6]",3922238,3,,,True,-0.17787527,,,,,"[39.6, 16.0]",,High Pass,9.042677,,Incomplete,,Jules Olivier Ntcham,10530.0,,,,,Recovery,1,From Throw In,Nouhou Tolo,13454.0,Left Wing Back,8,Nigeria,775,"['22870255-8bd1-4bdc-810f-5f84ab2adc85', '8b751547-9eb0-422f-97d0-48f41831d691', '977882aa-6165-4fbc-aef7-8f7fdcdcf047', '35a91aa3-b7bb-4011-81bb-3338b7c3ceec']",25,,,,,,,,,,,,,,,,Cameroon,2722,00:03:25.759,Pass,True
,,,,,,,,,,,,,,1.302209,,,,,,,,,,,35a91aa3-b7bb-4011-81bb-3338b7c3ceec,115,,,"[80.5, 64.1]",3922238,3,,,True,-0.37121513,,,,,"[95.4, 58.3]",,High Pass,15.9890585,,,,Victor James Osimhen,11277.0,,,,,Recovery,1,From Throw In,Frank Onyeka,24467.0,Right Defensive Midfield,8,Nigeria,775,"['2e16fb94-c652-48d2-908c-1159a7b257b4', '275cdfd1-53b8-42fc-a0a4-cf884d243623', 'debe6e00-8159-41fb-85a8-191e1d7750f4']",28,,,,,,,,,,,,,,,,Nigeria,775,00:03:28.104,Pass,True
,,,,,,,,,,,,,,1.914691,,,,,,,,,,,01746982-62f5-48ff-979a-d80adcde0337,121,,,"[111.1, 80.0]",3922238,3,,,,-1.5989219,dc8e90b2-fe47-4edf-a182-2fd213fd3ad8,,,,"[110.0, 40.9]",,High Pass,39.11547,,,,Victor James Osimhen,11277.0,True,,,,Throw-in,1,From Throw In,Temitayo Olufisayo Olaoluwa Aina,11492.0,Right Wing Back,9,Nigeria,775,['52f72959-3b95-4456-8940-bc49189fdbe7'],57,,,,,,,,,,,,,,,,Nigeria,775,00:03:57.023,Pass,
,,,,,,,,,,,,,,2.026235,,,,,,,,,,,bf2239a3-16cd-4802-93f1-55a861a03bf8,126,,,"[9.5, 48.3]",3922238,4,True,,,1.0153025,,Keeper Arm,,,"[25.7, 74.4]",,Low Pass,30.718887,,,,Nicolas Moumi Ngamaleu,16015.0,,,,,,1,From Keeper,Joseph Fabrice Ondoa Ebogo,24670.0,Goalkeeper,11,Cameroon,2722,['89cd43ee-96d9-477a-b638-327e60af606d'],4,,,,,,,,,,,,,,,,Cameroon,2722,00:04:04.049,Pass,
,,,,,,,,,,,,,,0.785842,,,,,,,,,,,cd8f3c9a-1049-4186-8a2f-54cfba18db18,128,,,"[39.6, 78.0]",3922238,4,,,,-1.2430578,,Right Foot,,,"[43.0, 68.0]",,Ground Pass,10.562197,,,,Karl Brillant Toko Ekambi,3551.0,,,,,,1,From Keeper,Nicolas Moumi Ngamaleu,16015.0,Right Wing Back,11,Cameroon,2722,['ccbfa5fa-3f3d-4998-9fec-cced1f51e8c4'],7,,,,,,,,,,,,,,,,Cameroon,2722,00:04:07.421,Pass,
,,,,,,,,,,,,,,1.389908,,,,,,,,,,,2458d243-62de-4ec4-8a93-50dfbf4b8777,132,,,"[44.3, 73.4]",3922238,4,,,,0.2374713,,Right Foot,,,"[60.0, 77.2]",,Ground Pass,16.153328,,,,Nicolas Moumi Ngamaleu,16015.0,,,,,,1,From Keeper,Karl Brillant Toko Ekambi,3551.0,Right Wing,11,Cameroon,2722,"['52632d85-a6d7-41c2-a98d-b8d6327ec37f', '7a42b1d5-9ae2-4b6e-934d-daf3ac24d84e']",10,,,,,,,,,,,,,,,,Cameroon,2722,00:04:10.402,Pass,True
