50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,True,,,,Success In Play,Tackle,0.0,,,,,,,,,,,,,22e8b508-a3c6-4d38-b47c-193b7c979e5e,316,,,"[13.9, 64.3]",3923881,11,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Ghislain Konan,10039.0,Left Back,23,Côte d'Ivoire,3374,['899d2ec3-b2e3-49d8-bf8c-d43ff34a5951'],12,,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:11:12.587,Duel,True
,,,,,,,,,,,,,,,,Lost In Play,Tackle,0.0,,,,,,,,,,,,,a90161ec-928d-4115-85ff-4ad621150682,335,,,"[53.2, 73.4]",3923881,11,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Samuel Chimerenka Chukwueze,16335.0,Right Wing,24,Côte d'Ivoire,3374,['c812eef7-8e4c-4e0b-9a72-962b5c8566e0'],52,,,,,,,,,,,,,,,,,Nigeria,775,00:11:52.104,Duel,True
,,,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,f3ebf358-ad8e-4cfb-8aac-0c1ef8cdb216,380,,,"[115.0, 47.7]",3923881,13,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Sébastien Haller,8673.0,Center Forward,25,Côte d'Ivoire,3374,['d9a691e9-6517-40c4-97a9-79f552ca1684'],0,,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:13:00.851,Duel,True
,,,,,,,,,,,,,,,,Success Out,Tackle,0.0,,,,,,,,,,,,,6c991d1c-f00b-4232-9567-0b95bb18a5eb,553,,,"[8.4, 76.7]",3923881,16,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Serge Aurier,3481.0,Right Back,31,Nigeria,775,['50d2dcb5-3fc0-44dc-90f0-c697cd2a4ee5'],58,,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:16:58.402,Duel,True
,,,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,2ccdf173-d7cc-4b22-b449-f581940adc0d,587,,,"[90.2, 69.5]",3923881,18,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Serge Aurier,3481.0,Right Back,32,Côte d'Ivoire,3374,['d72c12c4-dce8-4077-91cf-3435cefdb593'],3,,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:18:03.173,Duel,True
,,,,,,,,,,,,True,,,,Success In Play,Tackle,0.0,,,,,,,,,,,,,e8f1333f-dc44-4744-a800-4ca11021ef45,659,,,"[51.6, 7.3]",3923881,20,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Seko Fofana,7791.0,Left Center Midfield,37,Côte d'Ivoire,3374,['2fdb33fa-6aef-49d7-aa87-26f646471b10'],42,,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:20:42.052,Duel,True
,,,,,,,,,,,,True,,,,Lost In Play,Tackle,0.0,,,,,,,,,,,,,b5121f7b-6272-45ce-89bd-4c190d706d2b,666,,,"[50.0, 78.4]",3923881,20,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Temitayo Olufisayo Olaoluwa Aina,11492.0,Right Wing Back,37,Côte d'Ivoire,3374,['d20be703-a890-44b3-94aa-bd53a91ee3b9'],46,,,,,,,,,,,,,,,,,Nigeria,775,00:20:46.666,Duel,True
,,,,,,,,,,,,True,,,,Won,Tackle,0.0,,,,,,,,,,,,,2870d51c-dc6a-4968-8107-0f65719a4771,688,,,"[67.9, 28.5]",3923881,20,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Seko Fofana,7791.0,Left Center Midfield,37,Côte d'Ivoire,3374,['256301e3-46e3-41b1-84dd-ba2e941281ee'],58,,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:20:58.588,Duel,True
,,,,,,,,,,,,True,,,,Success In Play,Tackle,0.0,,,,,,,,,,,,,763d59ec-1ca4-466c-b8d7-1cb8db6ef547,692,,,"[51.4, 53.0]",3923881,21,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Frank Onyeka,24467.0,Right Defensive Midfield,38,Nigeria,775,['f199b157-2e09-448e-9615-cd3c35e0c670'],0,,,,,,,,,,,,,,,,,Nigeria,775,00:21:00.333,Duel,True
,,,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,6244f48b-ffc9-4b0f-9e9f-a2244cf3d954,794,,,"[62.2, 75.0]",3923881,24,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Victor James Osimhen,11277.0,Center Forward,43,Nigeria,775,['b29ec40a-5a7b-43fb-af27-d359fffb810d'],53,,,,,,,,,,,,,,,,,Nigeria,775,00:24:53.595,Duel,True
