50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.676047,,,,,,,,,,,,867996b4-f476-40e9-8c88-73da75df8c6d,1926,,,"[10.7, 67.5]",3922837,53,,,,0.505849,,Right Foot,,,"[31.1, 78.8]",Ground Pass,,23.320591,,,,Bright Osayi-Samuel,3806.0,,,,,,2,Regular Play,Temitayo Olufisayo Olaoluwa Aina,11492.0,Left Wing Back,95,Nigeria,775,['4c8d1166-7c93-415f-a1e6-bac64a482271'],17,,,,,,,,,,,,,,,,,Nigeria,775,00:08:17.036,Pass,
,,,,,,,,,,,,,,,,,1.855781,,,,,,,,,,,,5e612999-c011-4702-bf61-725868aadbd6,1929,,,"[37.2, 78.2]",3922837,53,,,,0.011975476,,Right Foot,,,"[53.9, 78.4]",Ground Pass,,16.701197,,,,Moses Daddy-Ajala Simon,18163.0,,,,,,2,Regular Play,Bright Osayi-Samuel,3806.0,Right Wing Back,95,Nigeria,775,['977daed2-acfb-46f6-93cf-c357adc03d17'],20,,,,,,,,,,,,,,,,,Nigeria,775,00:08:20.383,Pass,
,,,,,,,,,,,,,,,,,0.836438,,,,,,,,,,,,0875935e-49fc-4cfa-83c6-1fa01eadcdf7,1937,,,"[80.3, 11.4]",3922837,53,,,,1.4219064,,Right Foot,,,"[81.5, 19.4]",Low Pass,,8.089499,,,,Themba Zwane,65726.0,,,,,,2,From Counter,Sphephelo S''Miso Sithole,42527.0,Left Defensive Midfield,96,South Africa,4976,['15b5cc49-e24f-4297-a80f-3117cceab7e6'],27,,,,,,,,,,,,,,,,,South Africa,4976,00:08:27.981,Pass,
,,,,,,,,,,,,,,,,,1.015455,,,,,,,,,,,,87a33b8c-2060-4fd8-972f-a84b27ad7e66,1941,,,"[87.9, 22.3]",3922837,53,,,,0.29581976,b61ecae0-bdbc-4b19-8d4e-83b9f8b8643c,Right Foot,,,"[98.4, 25.5]",Ground Pass,,10.976793,,,,Percy Tau,29367.0,True,,,,,2,From Counter,Themba Zwane,65726.0,Left Wing,96,South Africa,4976,"['e0a0dfa1-986c-4595-979e-bfaa4eb23dd0', 'dae60ec1-dbfa-45ff-b2c3-d7ebd4b4912e']",30,,,,,,,,,,,,,,,,,South Africa,4976,00:08:30.635,Pass,True
,,,,,,,,,,,,,,,,,1.565238,,,,,,,,,,,,dca941d2-1b87-4953-99a4-961c4660c7e8,1948,,,"[7.0, 50.1]",3922837,53,True,,,-0.9281334,,Right Foot,,,"[21.3, 31.0]",Ground Pass,,23.860008,,,,Alex Iwobi,3647.0,,,,,Goal Kick,2,From Goal Kick,Stanley Bobo Nwabali,358410.0,Goalkeeper,97,Nigeria,775,['a89b9609-b1fd-4c2c-9a2c-38c2c8d6988b'],51,,,,,,,,,,,,,,,,,Nigeria,775,00:08:51.667,Pass,
,,,,,,,,,,,,,,,,,1.822139,,,,,,,,,,,,6ed87642-f7d0-4aa9-8a7f-33171af33ba3,1950,,,"[56.0, 23.0]",3922837,53,True,,,-1.1027628,,Right Foot,,,"[65.2, 4.8]",Ground Pass,,20.393137,,,,Moses Daddy-Ajala Simon,18163.0,,,,,,2,From Goal Kick,Alex Iwobi,3647.0,Left Defensive Midfield,97,Nigeria,775,['1d8d4da6-e509-40dd-8865-5b27911ac0f3'],54,,,,,,,,,,,,,,,,,Nigeria,775,00:08:54.186,Pass,
,,,,,,,,,,,,,,,,,0.07804,,,,,,,,,,,,5c0ee458-74f6-4bb6-a63c-68d716b4f5ae,1953,,,"[117.6, 22.5]",3922837,54,,,,1.7590178,,Left Foot,,,"[117.2, 24.6]",Low Pass,,2.1377559,,Incomplete,,,,,,,,,2,From Goal Kick,Moses Daddy-Ajala Simon,18163.0,Right Wing,97,Nigeria,775,['532cbb17-768a-462f-ace1-54ccd604c994'],6,,,,,,,,,,,,,,,,,Nigeria,775,00:09:06.095,Pass,
,,,,,,,,,,,,,,,,,1.249604,,,,,,,,,,,,2f4a1c2a-212f-49e1-9148-f7ee3574f472,1955,,,"[120.0, 0.1]",3922837,54,,,,1.7068226,,Right Foot,,,"[115.1, 35.9]",High Pass,True,36.133778,,Incomplete,,Victor James Osimhen,11277.0,,,Inswinging,,Corner,2,From Corner,Ademola Lookman,3447.0,Left Wing,98,Nigeria,775,"['05b328c6-7b3c-4821-8c36-00a1aec0cb34', 'a4410ca2-b4f8-449a-b4ed-3ee82c562c49']",39,,,,,,,,,,,,,,,,,Nigeria,775,00:09:39.775,Pass,
,,,,,,,,,,,,,,,,,2.454186,,,,,,,,,,,,ad67f909-631d-46eb-864e-847585eb61e7,1959,,,"[95.7, 31.6]",3922837,54,,,,0.043450896,,Head,,,"[104.9, 32.0]",High Pass,,9.208692,,Incomplete,,Victor James Osimhen,11277.0,,,,,Recovery,2,From Corner,Temitayo Olufisayo Olaoluwa Aina,11492.0,Left Wing Back,98,Nigeria,775,"['7198776d-9d31-4fa9-b5d1-9903f83012fc', '30430d08-868e-44e4-9a4e-fd43b81573a2']",44,,,,,,,,,,,,,,,,,Nigeria,775,00:09:44.275,Pass,
,,,,,,,,,,,,,,,,,1.683685,,,,,,,,,,,,7198776d-9d31-4fa9-b5d1-9903f83012fc,1961,,,"[15.2, 48.1]",3922837,54,,,,0.5331557,,Head,,,"[27.4, 55.3]",High Pass,,14.166157,,,,Themba Zwane,65726.0,,,,,Recovery,2,From Corner,Teboho Mokoena,66716.0,Right Defensive Midfield,98,Nigeria,775,"['ad67f909-631d-46eb-864e-847585eb61e7', 'b0322318-d4d5-430a-85e1-107d329a43bf']",46,,,,,,,,,,,,,,,,,South Africa,4976,00:09:46.729,Pass,
