50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,"[71.9, 7.0]",,,,,,,,,,,,,,0.741536,,,,,,,,,91f92619-45c3-4f8a-a0e1-17150b2c929e,303,,,"[73.5, 7.5]",3920393,8,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ali Maâloul,5647.0,Left Back,21,Tunisia,777,"['1aea85ef-e048-4468-ae58-5eb33fc0865b', 'fcf9ca37-37b2-4e53-9abf-47af5d6218c6', '583d2303-5bf2-4eae-abf1-8d25754c7532']",50,,,,,,,,,,,,,,,,,Tunisia,777,00:08:50.084,Carry,True
,,,,,"[51.1, 3.6]",,,,,,,,,,,,,,1.581348,,,,,,,,,ef022039-a31a-49bf-bafc-883eb987d9a9,315,,,"[51.1, 3.6]",3920393,9,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Youssef Msakni,23910.0,Left Wing,23,Tunisia,777,"['33286b72-ca97-45e5-8b7e-b26c244801f6', 'ca330571-ee1a-4b82-9748-236efc98ef80', 'fa06ee7e-4734-4aa4-8941-63bf13ce9756']",15,,,,,,,,,,,,,,,,,Tunisia,777,00:09:15.698,Carry,True
,,,,,"[51.9, 10.5]",,,,,,,,,,,,,,0.056311,,,,,,,,,1d714381-15f0-4bf7-916b-80c909627c91,319,,,"[51.9, 10.5]",3920393,9,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Mohamed Ali Ben Romdhane,102816.0,Left Center Midfield,23,Tunisia,777,"['65d18269-4bce-472b-9d28-d6dc6e20b97d', '2d7be5d3-ef50-4248-b623-113e848df99d', '013befa1-4910-4a2c-aeae-080dc2e3d84d']",19,,,,,,,,,,,,,,,,,Tunisia,777,00:09:19.032,Carry,True
,,,,,"[68.0, 13.6]",,,,,,,,,,,,,,0.241306,,,,,,,,,a4c53b7c-6224-4cff-b7c4-6c0f54a9701e,323,,,"[68.0, 13.6]",3920393,9,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Taha Yassine Khenissi,128793.0,Center Forward,23,Tunisia,777,"['33ec09fc-77bb-4d7d-8fa9-1613df947a78', 'dea767bd-aa5a-408e-8deb-0d707aa93ea4', '32b6a1e2-b751-4534-915f-220bbb2be15a']",20,,,,,,,,,,,,,,,,,Tunisia,777,00:09:20.397,Carry,True
,,,,,"[75.2, 15.3]",,,,,,,,,,,,,,2.128643,,,,,,,,,e1a693de-20f7-4b3d-b7ec-0dd658fcd7a7,328,,,"[66.5, 13.6]",3920393,9,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Youssef Msakni,23910.0,Left Wing,23,Tunisia,777,"['22f24c05-f249-41b0-81a0-fe89a22cd796', '449c8dec-9c2c-4087-82b2-f54ce5ecb034', '83256450-bdd6-4244-af3b-7152fe456bdc', 'c80b00af-369d-42ef-8b3a-cab976da96bc']",21,,,,,,,,,,,,,,,,,Tunisia,777,00:09:21.800,Carry,True
,,,,,"[87.2, 34.0]",,,,,,,,,,,,,,3.115922,,,,,,,,,1feddcea-a8d4-4370-bd1f-c498a286569e,332,,,"[80.6, 31.2]",3920393,9,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Anis Ben Slimane,35592.0,Right Center Midfield,23,Tunisia,777,"['fa42bb48-a2b7-4e59-82f2-409cb1c5a1d9', '634f5774-8960-4c8e-9dfd-7caf5ba07e71', 'f21e70b7-4ff6-401f-8c3d-b2650aa8e734']",24,,,,,,,,,,,,,,,,,Tunisia,777,00:09:24.766,Carry,True
,,,,,"[11.6, 48.5]",,,,,,,,,,,,,,2.200907,,,,,,,,,c13a4551-6d0b-483f-a39a-8af02b2a22ce,342,,,"[11.2, 48.7]",3920393,9,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Lloyd Junior Kazapua,125324.0,Goalkeeper,24,Namibia,4980,"['3e40bc0e-f8b0-402b-94ba-80c40c10c542', '89a0c21d-1dbd-4749-b664-7838e9189b20']",55,,,,,,,,,,,,,,,,,Namibia,4980,00:09:55.111,Carry,
,,,,,"[21.0, 26.1]",,,,,,,,,,,,,,1.293676,,,,,,,,,809fcb5b-5f47-439d-8e04-eb9f441d0480,345,,,"[16.4, 28.5]",3920393,9,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Lubeni Haukongo,135004.0,Left Center Back,24,Namibia,4980,"['e051a7fa-44cd-4f42-9777-bedcd818d42b', 'b8c8919a-599d-46f6-add8-6086dd37c687']",58,,,,,,,,,,,,,,,,,Namibia,4980,00:09:58.544,Carry,
,,,,,"[34.7, 9.4]",,,,,,,,,,,,,,1.412228,,,,,,,,,0a1aaeb6-0a21-47ce-8b4f-c8e67ea8a036,348,,,"[34.7, 9.4]",3920393,10,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Riaan Hanamub,65555.0,Left Back,24,Namibia,4980,"['3a53fab6-818c-4d8f-b538-9df9ba3633ae', '9a8be526-1ce6-4149-80ac-40a10a7c9967']",0,,,,,,,,,,,,,,,,,Namibia,4980,00:10:00.864,Carry,
,,,,,"[16.6, 23.1]",,,,,,,,,,,,,,1.574364,,,,,,,,,25c72d34-faa0-4046-afb4-86ef2a88e11f,351,,,"[22.1, 18.9]",3920393,10,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Lubeni Haukongo,135004.0,Left Center Back,24,Namibia,4980,"['93312595-f42f-4334-add8-c1987ac919ce', 'c1d08dc2-bedc-4e0f-9d4c-c3f2f59dc54b']",3,,,,,,,,,,,,,,,,,Namibia,4980,00:10:03.557,Carry,
,,,,,"[13.6, 44.8]",,,,,,,,,,,,,,1.376705,,,,,,,,,28c3f233-759c-4e8f-bb52-74ec168adbe2,354,,,"[12.5, 44.8]",3920393,10,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Lloyd Junior Kazapua,125324.0,Goalkeeper,24,Namibia,4980,"['fdc05d78-09f4-4d07-9002-0be789679bf6', '33baafc8-09b0-4cf5-99cc-5ae767820880']",6,,,,,,,,,,,,,,,,,Namibia,4980,00:10:06.436,Carry,
